clan_battle_id,period,period_detail,period_detail_bg,period_detail_s,period_detail_bg_s,period_detail_bg_position,period_detail_boss_position_x,period_detail_boss_position_y,start_time,end_time,interval_start,interval_end,calc_start,result_start,result_end,limit_time,chest_id,quest_detail_rehearsal_label_height,min_carry_over_time
1001,1,"团队战开始！和行会成员互相合作\n打倒怪物吧！",101011,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101011,0,0,0,"2018/03/21 5:00:00","2018/03/31 23:59:59","2018/04/01","2018/04/20 4:59:59","2018/04/01","2018/04/05 17:00:00","2018/04/20 4:59:59",90,40004,25,0
1002,1,"和行会成员互相合作\n打倒强大的怪物吧！",101021,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101021,0,0,0,"2018/04/20 5:00:00","2018/04/30 23:59:59","2018/05/01","2018/05/22 4:59:59","2018/05/01","2018/05/02 17:00:00","2018/05/22 4:59:59",90,40004,25,0
1003,1,"和行会成员互相合作\n打倒强大的怪物吧！",101042,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101042,0,0,0,"2018/05/22 5:00:00","2018/05/31 23:59:59","2018/06/01","2018/06/21 4:59:59","2018/06/01","2018/06/01 17:00:00","2018/06/21 4:59:59",90,40004,25,0
1004,1,"和行会成员互相合作\n打倒强大的怪物吧！",101161,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101161,0,0,0,"2018/06/21 5:00:00","2018/06/30 23:59:59","2018/07/01","2018/07/21 4:59:59","2018/07/01","2018/07/02 17:00:00","2018/07/21 4:59:59",90,40004,25,0
1005,1,"和行会成员互相合作\n打倒强大的怪物吧！",101171,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101171,0,0,0,"2018/07/21 5:00:00","2018/07/31 23:59:59","2018/08/01","2018/08/22 4:59:59","2018/08/01","2018/08/01 17:00:00","2018/08/22 4:59:59",90,40004,25,0
1006,1,"和行会成员互相合作\n打倒强大的怪物吧！",101191,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101191,0,0,0,"2018/08/22 5:00:00","2018/08/31 23:59:59","2018/09/01","2018/09/21 4:59:59","2018/09/01","2018/09/03 17:00:00","2018/09/21 4:59:59",90,40004,25,0
1007,1,"和行会成员互相合作\n打倒强大的怪物吧！",101202,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101202,0,0,0,"2018/09/21 5:00:00","2018/09/30 23:59:59","2018/10/01","2018/10/22 4:59:59","2018/10/01","2018/10/01 17:00:00","2018/10/22 4:59:59",90,40004,25,0
1008,1,"和行会成员互相合作\n打倒强大的怪物吧！",101292,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101292,0,0,0,"2018/10/22 5:00:00","2018/10/31 23:59:59","2018/11/01","2018/11/22 4:59:59","2018/11/01","2018/11/01 17:00:00","2018/11/22 4:59:59",90,40004,25,0
1009,1,"和行会成员互相合作\n打倒强大的怪物吧！",101302,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101302,0,0,0,"2018/11/22 5:00:00","2018/11/30 23:59:59","2018/12/01","2018/12/22 4:59:59","2018/12/01","2018/12/03 18:00:00","2018/12/22 4:59:59",90,40004,25,0
1010,1,"和行会成员互相合作\n打倒强大的怪物吧！",101441,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101441,0,0,0,"2018/12/22 5:00:00","2018/12/30 23:59:59","2018/12/31","2019/01/23 4:59:59","2018/12/31","2018/12/31 15:00:00","2019/01/23 4:59:59",90,40004,25,0
1011,1,"和行会成员互相合作\n打倒强大的怪物吧！",101452,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101452,0,0,0,"2019/01/23 5:00:00","2019/01/30 23:59:59","2019/01/31","2019/02/20 4:59:59","2019/01/31","2019/01/31 15:00:00","2019/02/20 4:59:59",90,40004,25,0
1012,1,"和行会成员互相合作\n打倒强大的怪物吧！",101562,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101562,0,0,0,"2019/02/20 5:00:00","2019/02/27 23:59:59","2019/02/28","2019/03/23 4:59:59","2019/02/28","2019/02/28 15:00:00","2019/03/23 4:59:59",90,40004,25,0
1013,1,"和行会成员互相合作\n打倒强大的怪物吧！",101011,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101011,0,0,0,"2019/03/23 5:00:00","2019/03/30 23:59:59","2019/03/31","2019/04/22 4:59:59","2019/03/31","2019/03/31 15:00:00","2019/04/22 4:59:59",90,40004,25,0
1014,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101021,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101021,0,0,0,"2019/04/22 5:00:00","2019/04/29 23:59:59","2019/04/30","2019/05/23 4:59:59","2019/04/30","2019/04/30 15:00:00","2019/05/23 4:59:59",90,40004,25,0
1015,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101042,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101042,0,0,0,"2019/05/23 5:00:00","2019/05/30 23:59:59","2019/05/31","2019/06/22 4:59:59","2019/05/31","2019/05/31 15:00:00","2019/06/22 4:59:59",90,40004,25,0
1016,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101162,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101162,0,0,0,"2019/06/22 5:00:00","2019/06/29 23:59:59","2019/06/30","2019/07/23 4:59:59","2019/06/30","2019/06/30 15:00:00","2019/07/23 4:59:59",90,40004,25,0
1017,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101172,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101172,0,0,0,"2019/07/23 5:00:00","2019/07/30 23:59:59","2019/07/31","2019/08/23 4:59:59","2019/07/31","2019/07/31 15:00:00","2019/08/23 4:59:59",90,40004,25,0
1018,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101192,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101192,0,0,0,"2019/08/23 5:00:00","2019/08/30 23:59:59","2019/08/31","2019/09/23 4:59:59","2019/08/31","2019/08/31 15:00:00","2019/09/23 4:59:59",90,40004,25,0
1019,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101202,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101202,0,0,0,"2019/09/23 5:00:00","2019/09/29 23:59:59","2019/09/30","2019/10/25 4:59:59","2019/09/30","2019/09/30 15:00:00","2019/10/25 4:59:59",90,40004,25,0
1020,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101292,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101292,0,0,0,"2019/10/25 5:00:00","2019/10/30 23:59:59","2019/10/31","2019/11/24 4:59:59","2019/10/31","2019/10/31 15:00:00","2019/11/24 4:59:59",90,40004,25,0
1021,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101302,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101302,0,0,0,"2019/11/24 5:00:00","2019/11/29 23:59:59","2019/11/30","2019/12/25 4:59:59","2019/11/30","2019/11/30 15:00:00","2019/12/25 4:59:59",90,40004,25,0
1022,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101441,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101441,0,0,0,"2019/12/25 5:00:00","2019/12/30 23:59:59","2019/12/31","2020/01/25 4:59:59","2019/12/31","2019/12/31 15:00:00","2020/01/25 4:59:59",90,40004,25,0
1023,1,"クランメンバーと協力して\n強力なモンスターを討伐しよう！",101452,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101452,0,0,0,"2020/01/25 5:00:00","2020/01/30 23:59:59","2020/01/31","2020/02/23 4:59:59","2020/01/31","2020/01/31 15:00:00","2020/02/23 4:59:59",90,40004,25,0
