event_id,chara_index,chara_name,max_dear_point,reference_type,reference_id,episode_unlock_offset_x,episode_unlock_offset_y,dear_point_up_offset_x,dear_point_up_offset_y
10017,1,"ラム",1000,1,109901,0,0,0,0
10017,2,"ラム",1000,1,109701,0,0,0,0
10017,3,"ラム",1000,1,109801,0,0,0,0
10019,1,"ミサキ",1000,1,110001,0,0,0,0
10019,2,"ミサキ",1000,1,110201,0,0,0,0
10023,1,"ユニ",1000,2,110801,0,0,0,0
10023,2,"ユニ",1000,2,110901,0,0,0,0
10023,3,"ユニ",1000,2,111001,0,0,0,40
10025,1,"ミソギ",1000,1,111301,0,0,0,0
10025,2,"ミソギ",1000,1,111101,0,0,0,0
10025,3,"ミソギ",1000,1,111201,0,0,0,0
10027,1,"カヤ",1000,2,106601,0,0,0,0
10027,2,"カヤ",1000,2,106501,0,0,0,0
10029,3,"イリヤ",1000,1,111601,0,0,0,0
10029,1,"イリヤ",1000,1,111501,0,0,0,0
10029,2,"イリヤ",1000,1,111701,0,0,0,0
10033,1,"シオリ",1000,1,112201,0,0,0,0
10033,2,"シオリ",1000,1,112301,0,0,0,0
