emblem_id,disp_oder,type,emblem_name,description_mission_id,event_emblem,start_time,end_time
10000001,101001,1,"冒険への初立",0,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10101001,101002,1,"新米騎士",58002001,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10101002,101003,1,"勇敢なる騎士",58002002,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10101003,101004,1,"姫君の騎士",58002003,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201001,201001,2,"ヒヨリ",56011001,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201002,201002,2,"ヒヨリの絆",56011002,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201003,201003,2,"困った時はお互いさまさま",56011003,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201004,201004,2,"ユイ",56011004,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201005,201005,2,"ユイの絆",56011005,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201006,201006,2,"また会えたね、騎士クン",56011006,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201007,201007,2,"レイ",56011007,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201008,201008,2,"レイの絆",56011008,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201009,201009,2,"清廉恪勤なる剣士",56011009,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201010,201010,2,"ミソギ",56011010,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201011,201011,2,"ミソギの絆",56011011,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201012,201012,2,"にいちゃん、遊ぼうよ！",56011012,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201013,201013,2,"マツリ",56011013,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201014,201014,2,"マツリの絆",56011014,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201015,201015,2,"燃えてきたッスーッ！",56011015,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201016,201016,2,"アカリ",56011016,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201017,201017,2,"アカリの絆",56011017,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201018,201018,2,"スイートリトルデーモン",56011018,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
