enemy_id,name,child_enemy_parameter_1,child_enemy_parameter_2,child_enemy_parameter_3,child_enemy_parameter_4,child_enemy_parameter_5
401021505,"ツインピッグス 1段階目",401021506,401021507,0,0,0
401021905,"グラットン 1段階目",401021906,401021907,401021908,0,0
401022105,"サジタリウス 1段階目",401022106,401022107,0,0,0
401022305,"アクアリオス 1段階目",401022306,401022307,0,0,0
401025905,"グラットン 1段階目 シングルモード",401025906,401025907,401025908,0,0
401026105,"サジタリウス 1段階目 シングルモード",401026106,401026107,0,0,0
401026305,"アクアリオス 1段階目 シングルモード",401026306,401026307,0,0,0
401031505,"ツインピッグス 2段階目",401031506,401031507,0,0,0
401031905,"グラットン 2段階目",401031906,401031907,401031908,0,0
401032105,"サジタリウス 2段階目",401032106,401032107,0,0,0
401032305,"アクアリオス 2段階目",401032306,401032307,0,0,0
401035905,"グラットン 2段階目 シングルモード",401035906,401035907,401035908,0,0
401036105,"サジタリウス 2段階目 シングルモード",401036106,401036107,0,0,0
401036305,"アクアリオス 2段階目 シングルモード",401036306,401036307,0,0,0
401041505,"ツインピッグス 3段階目",401041506,401041507,0,0,0
401041905,"グラットン 3段階目",401041906,401041907,401041908,0,0
401042105,"サジタリウス 3段階目",401042106,401042107,0,0,0
401042305,"アクアリオス 3段階目",401042306,401042307,0,0,0
401045905,"グラットン 3段階目 シングルモード",401045906,401045907,401045908,0,0
401046105,"サジタリウス 3段階目 シングルモード",401046106,401046107,0,0,0
401046305,"アクアリオス 3段階目 シングルモード",401046306,401046307,0,0,0
610017101,"ペテルギウス NORMAL",610017102,610017103,610017104,0,0
610017201,"ペテルギウス HARD",610017202,610017203,610017204,0,0
610017301,"ペテルギウス VERY HARD",610017302,610017303,610017304,0,0
610017401,"ペテルギウス SP1",610017411,610017412,610017413,0,0
610017402,"ペテルギウス SP2",610017421,610017422,610017423,0,0
610017403,"ペテルギウス SP3",610017431,610017432,610017433,0,0
801100213,"カイザーサーバント（マルチ）",801100223,801100233,801100243,0,0
