gacha_id,event_id,gacha_name,item_type,item_id,cost,repeat_step
10001,10001,"初音礼物盒扭蛋",2,60002,1,5
10002,10002,"小小甜心・大冒险讨伐证交换",2,60012,1,5
10004,10004,"危险假日！！海边的美食家公主",2,60032,1,5
10005,10005,"珠希和美冬的无人岛0金币生活",2,60042,1,5
10006,10006,"黑铁的亡灵",2,60052,1,5
10007,10007,"不给布丁就捣蛋！约定的万圣节派对",2,60062,1,5
10008,10008,"暮光破坏者",2,60072,1,5
10009,10009,"忘却的圣歌",2,60082,1,5
10010,10010,"新春破晓之星大危机！",2,60092,1,5
10011,10011,"情人节大作战！心意相通的甜蜜战斗",2,60102,1,5
10012,10012,"王都的名侦探 叹息的追踪者（跟踪狂）",2,60112,1,5
10013,10013,"在阿斯特朗盛开的双轮花",2,60122,1,5
10014,10014,"复刻初音的礼物大作战",2,60132,1,5
10015,10015,"ショーグン道中記　白翼のサムライ",2,60142,1,5
10016,10016,"復刻リトル・リリカル・アドベンチャーズ！",2,60152,1,5
10017,10017,"Re:ゼロから集まる異世界食卓",2,60162,1,5
10018,10018,"復刻ヴァンパイアハンターwithイリヤ",2,60172,1,5
10019,10019,"スズナレインボーステージ！",2,60182,1,5
10020,10020,"復刻デンジャラスバカンス！渚のグルメプリンセス",2,60192,1,5
10021,10021,"真夏のマホマホ王国 波打ち際のソウルサマー！",2,60202,1,5
10022,10022,"タマキとミフユの無人島０ルピ生活",2,60212,1,5
10023,10023,"森の臆病者と聖なる学舎の異端児",2,60222,1,5
10024,10024,"黒鉄の亡霊（ナイトメア）",2,60232,1,5
10025,10025,"リトル・ブレイブ・ハロウィンナイト！",2,60242,1,5
10026,10026,"トリックオアプリン！約束のハロウィンパーティー",2,60252,1,5
10027,10027,"ドラゴンエクスプローラーズ",2,60262,1,5
10028,10028,"トワイライトブレイカーズ",2,60272,1,5
10029,10029,"プレゼントパニック！　ランドソルのサンタたち",2,60282,1,5
10030,10030,"忘却のキャロル",2,60292,1,5
10031,10031,"激走！　ランドソルギルドレース",2,60302,1,5
10032,10032,"新春トゥインクルクライシス！",2,60312,1,5
10033,10033,"魔法少女　二人はミスティ＆ピュアリー",2,60322,1,5
10034,10034,"バトルオブバレンタイン！　想いぶつかるスウィートバトル",2,60332,1,5
19003,10003,"吸血鬼猎人with伊莉亚讨伐证交換",2,60022,1,5
