comment_id,where_type,character_id,face_type,character_name,description,voice_id,start_time,end_time,pos_x,pos_y,change_face_time,change_face_type,event_id
10035001,53,190801,1,"花凛","完成任务后，\n可以获取报酬哦！\n请加油吧！",1,"2022/02/28 9:00:00","2022/3/26 14:59:59",-416.5,0.0,3.414,2,10035
10035002,53,190801,1,"花凛","努力完成任务，\n然后领取报酬吧！",2,"2022/02/28 9:00:00","2022/3/26 14:59:59",-416.5,0.0,3.099,2,10035
10035003,54,190801,1,"花凛","好像有可以领取的报酬\n当前尚未领取\n快确认看看吧！",3,"2022/02/28 9:00:00","2022/3/26 14:59:59",-416.5,0.0,2.801,2,10035
10035004,54,190801,2,"花凛","可以获得报酬哦！\n请关注一下！",4,"2022/02/28 9:00:00","2022/3/26 14:59:59",-416.5,0.0,0.0,2,10035
10035005,57,190801,1,"花凛","参与活动辛苦了！\n感谢各位一直以来的\n活跃表现！",5,"2022/02/28 9:00:00","2022/3/26 14:59:59",-416.5,0.0,0.0,1,10035
10035006,55,190801,1,"花凛","这里是公会管理协会！\n如果持有讨伐证，\n可以用来交换报酬哦",1,"2022/02/28 9:00:00","2022/3/26 14:59:59",-363.0,0.0,5.506,2,10035
10035007,55,190801,2,"花凛","辛苦了！\n在这里，可以使用讨伐证\n来交换报酬哦！",2,"2022/02/28 9:00:00","2022/3/26 14:59:59",-363.0,0.0,1.216,1,10035
10035008,56,190801,2,"花凛","辛苦了\n请不要忘记，\n用讨伐证交换报酬哦！",3,"2022/02/28 9:00:00","2022/3/26 14:59:59",-363.0,0.0,1.539,1,10035
10035009,56,190801,2,"花凛","终于结束了\n讨伐证是努力的证明！\n去交换报酬吧！",4,"2022/02/28 9:00:00","2022/3/26 14:59:59",-363.0,0.0,1.875,1,10035
10035101,51,112401,1,"卯月（偶像大师）","",101,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,5.281,2,10035
10035102,51,112501,1,"凛（偶像大师）","",201,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,9.097,2,10035
10035103,51,112601,1,"未央（偶像大师）","",301,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,3.309,2,10035
10035104,51,112401,1,"卯月（偶像大师）","",102,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,0.0,1,10035
10035105,51,112501,4,"凛（偶像大师）","",202,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,9.777,2,10035
10035106,51,112601,1,"未央（偶像大师）","",302,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,4.766,2,10035
10035107,52,112401,1,"卯月（偶像大师）","",103,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,9.408,2,10035
10035108,52,112501,2,"凛（偶像大师）","",203,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,0.0,2,10035
10035109,52,112601,2,"未央（偶像大师）","",303,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,0.0,2,10035
10035110,52,112401,1,"卯月（偶像大师）","",104,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,7.774,2,10035
10035111,52,112501,2,"凛（偶像大师）","",204,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,0.0,2,10035
10035112,52,112601,1,"未央（偶像大师）","",304,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,6.327,2,10035
10035113,52,112401,2,"卯月（偶像大师）","",105,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,0.0,2,10035
10035114,52,112501,2,"凛（偶像大师）","",205,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,0.0,2,10035
10035115,52,112601,1,"未央（偶像大师）","",305,"2022/02/28 9:00:00","2022/3/26 14:59:59",-285.0,8.0,5.486,2,10035
10036001,53,190801,1,"花凛","完成任务后，\n可以获取报酬哦！\n请加油吧！",1,"2022/03/12 15:00:00","2022/3/26 14:59:59",-416.5,0.0,3.414,2,10036
10036002,53,190801,1,"花凛","努力完成任务，\n然后领取报酬吧！",2,"2022/03/12 15:00:00","2022/3/26 14:59:59",-416.5,0.0,3.099,2,10036
