story_id,story_group_id,title,sub_title,visible_type,story_end,pre_story_id,love_level,requirement_id,unlock_quest_id,story_quest_id,reward_type_1,reward_id_1,reward_value_1,reward_type_2,reward_id_2,reward_value_2,reward_type_3,reward_id_3,reward_value_3,start_time,end_time
5001000,5001,"初音的礼物大作战 开篇","礼物大作战开幕！",0,0,0,0,0,0,0,8,91002,20,2,31012,1,0,0,0,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5001001,5001,"初音的礼物大作战 第1话","充满回忆的归路",0,0,5001000,0,0,0,0,8,91002,20,2,31038,1,0,0,0,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5001002,5001,"初音的礼物大作战 第2话","与神奇书籍的相遇",0,0,5001001,0,0,0,0,8,91002,20,2,31012,1,0,0,0,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5001003,5001,"初音的礼物大作战 第3话","Dear Sister",0,0,5001002,0,0,0,0,8,91002,20,2,31038,1,0,0,0,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5001004,5001,"初音的礼物大作战 第4话","被解放的魔物们",0,0,5001003,0,0,0,55001004,8,91002,20,2,31012,1,0,0,0,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5001005,5001,"初音的礼物大作战 第5话","共鸣的心",0,0,5001004,0,0,0,0,8,91002,20,2,31038,1,0,0,0,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5001006,5001,"初音的礼物大作战 第6话","齐心协力",0,0,5001005,0,0,0,55001006,8,91002,20,2,31012,1,0,0,0,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5001007,5001,"初音的礼物大作战 落幕","最棒的礼物",0,0,5001006,0,0,0,0,8,91002,20,2,31038,1,0,0,0,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5002000,5002,"小小甜心大冒险 开篇","镜华老师的学习会",0,0,0,0,0,0,0,8,91002,20,2,31020,1,0,0,0,"2018/04/30 12:00:00","2030/04/24 14:59:59"
5002001,5002,"小小甜心大冒险 第1话","探险的邀请",0,0,5002000,0,0,0,0,8,91002,20,2,31004,1,0,0,0,"2018/04/30 12:00:00","2030/04/24 14:59:59"
5002002,5002,"小小甜心大冒险 第2话","和好的食谱",0,0,5002001,0,0,0,0,8,91002,20,2,31020,1,0,0,0,"2018/04/30 12:00:00","2030/04/24 14:59:59"
5002003,5002,"小小甜心大冒险 第3话","未奏希探险队出发！",0,0,5002002,0,0,0,0,8,91002,20,2,31004,1,0,0,0,"2018/04/30 12:00:00","2030/04/24 14:59:59"
5002004,5002,"小小甜心大冒险 第4话","迷宫陷阱千钧一发！",0,0,5002003,0,0,0,0,8,91002,20,2,31020,1,0,0,0,"2018/04/30 12:00:00","2030/04/24 14:59:59"
