id,buy_count,use_jewel_count,get_gold_count,goldset_odds_1,goldset_odds_2,goldset_odds_3,additional_gold_min_rate,additional_gold_max_rate,training_quest_count,get_stamina_count
1,1,10,12000,90001,0,90043,10000,30000,0,0
2,2,20,24000,90002,0,90047,10000,30000,0,0
3,3,20,24000,90002,0,90047,10000,30000,0,0
4,4,20,24000,90002,0,90047,10000,30000,0,0
5,5,20,24000,90002,0,90047,10000,30000,0,0
6,6,20,24000,90002,0,90047,10000,30000,0,0
7,7,20,24000,90002,0,90047,10000,30000,0,0
8,8,20,24000,90002,0,90047,10000,30000,0,0
9,9,20,24000,90002,0,90047,10000,30000,0,0
10,10,20,24000,90002,0,90047,10000,30000,1,0
11,11,40,48000,90003,90011,90051,10000,30000,2,0
12,12,40,48000,90003,90011,90051,10000,30000,3,0
13,13,40,48000,90003,90011,90051,10000,30000,4,0
14,14,40,48000,90003,90011,90051,10000,30000,5,0
15,15,40,48000,90003,90011,90051,10000,30000,6,0
16,16,40,48000,90003,90011,90051,10000,30000,7,0
17,17,40,48000,90003,90011,90051,10000,30000,8,0
18,18,40,48000,90003,90011,90051,10000,30000,9,0
19,19,40,48000,90003,90011,90051,10000,30000,10,0
20,20,40,48000,90003,90011,90051,10000,30000,11,0
21,21,60,72000,90004,90015,90055,10000,30000,12,0
22,22,60,72000,90004,90015,90055,10000,30000,13,0
23,23,60,72000,90004,90015,90055,10000,30000,14,0
24,24,60,72000,90004,90015,90055,10000,30000,15,0
25,25,60,72000,90004,90015,90055,10000,30000,16,0
26,26,60,72000,90004,90015,90055,10000,30000,17,0
27,27,60,72000,90004,90015,90055,10000,30000,18,0
28,28,60,72000,90004,90015,90055,10000,30000,19,0
29,29,60,72000,90004,90015,90055,10000,30000,20,0
30,30,60,72000,90004,90015,90055,10000,30000,21,0
31,31,80,96000,90005,90015,90059,10000,30000,22,0
32,32,80,96000,90005,90015,90059,10000,30000,23,0
33,33,80,96000,90005,90015,90059,10000,30000,24,0
34,34,80,96000,90005,90015,90059,10000,30000,25,0
35,35,80,96000,90005,90015,90059,10000,30000,26,0
36,36,80,96000,90005,90015,90059,10000,30000,27,0
37,37,80,96000,90005,90015,90059,10000,30000,28,0
38,38,80,96000,90005,90015,90059,10000,30000,29,0
39,39,80,96000,90005,90015,90059,10000,30000,30,0
40,40,80,96000,90005,90015,90059,10000,30000,31,0
41,41,120,144000,90005,90017,90063,10000,30000,33,0
42,42,120,144000,90005,90017,90063,10000,30000,35,0
43,43,120,144000,90005,90017,90063,10000,30000,37,0
44,44,120,144000,90005,90017,90063,10000,30000,39,0
45,45,120,144000,90005,90017,90063,10000,30000,41,0
46,46,120,144000,90005,90017,90063,10000,30000,43,0
47,47,120,144000,90005,90017,90063,10000,30000,45,0
48,48,120,144000,90005,90017,90063,10000,30000,47,0
49,49,120,144000,90005,90017,90063,10000,30000,49,0
50,50,120,144000,90005,90017,90063,10000,30000,51,0
51,51,150,180000,90006,90019,90067,10000,30000,53,0
52,52,150,180000,90006,90019,90067,10000,30000,55,0
53,53,150,180000,90006,90019,90067,10000,30000,57,0
54,54,150,180000,90006,90019,90067,10000,30000,59,0
55,55,150,180000,90006,90019,90067,10000,30000,61,0
56,56,150,180000,90006,90019,90067,10000,30000,63,0
57,57,150,180000,90006,90019,90067,10000,30000,65,0
58,58,150,180000,90006,90019,90067,10000,30000,67,0
59,59,150,180000,90006,90019,90067,10000,30000,69,0
60,60,150,180000,90006,90019,90067,10000,30000,71,0
61,61,180,216000,90007,90021,90071,10000,30000,74,0
62,62,180,216000,90007,90021,90071,10000,30000,77,0
63,63,180,216000,90007,90021,90071,10000,30000,80,0
64,64,180,216000,90007,90021,90071,10000,30000,83,0
65,65,180,216000,90007,90021,90071,10000,30000,86,0
66,66,180,216000,90007,90021,90071,10000,30000,89,0
67,67,180,216000,90007,90021,90071,10000,30000,92,0
68,68,180,216000,90007,90021,90071,10000,30000,95,0
69,69,180,216000,90007,90021,90071,10000,30000,98,0
70,70,180,216000,90007,90021,90071,10000,30000,101,0
