daily_mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,start_time,end_time
61001001,101,601,"挑战基兹1次（普通、困难共通） ",9012,0,0,0,1,61001001,6008,10001,"2018/03/31 15:00:00","2018/04/24 14:59:59"
61001002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61001002,6004,10001,"2018/03/31 15:00:00","2018/04/24 14:59:59"
61002001,101,601,"挑战阿尔玛1次（普通、困难共通） ",9012,0,0,0,1,61002001,6008,10002,"2018/04/30 12:00:00","2018/05/25 14:59:59"
61002002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61002002,6004,10002,"2018/04/30 12:00:00","2018/05/25 14:59:59"
61003001,101,601,"挑战1次卡尔古（普通、困难共通） ",9012,0,0,0,1,61003001,6008,10003,"2018/05/31 12:00:00","2018/06/25 14:59:59"
61003002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61003002,6004,10003,"2018/05/31 12:00:00","2018/06/25 14:59:59"
61004001,101,601,"挑战1次腾特帕斯（全难易度共通） ",9012,0,0,0,1,61004001,6008,10004,"2018/06/30 12:00:00","2018/07/25 14:59:59"
61004002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61004002,6004,10004,"2018/06/30 12:00:00","2018/07/25 14:59:59"
61005001,101,601,"挑战1次岛鲸吧（全难度共通） ",9012,0,0,0,1,61005001,6008,10005,"2018/07/31 12:00:00","2018/08/24 14:59:59"
61005002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61005002,6004,10005,"2018/07/31 12:00:00","2018/08/24 14:59:59"
61006001,101,601,"挑战1次生灵铠甲吧（全难度共通） ",9012,0,0,0,1,61006001,6008,10006,"2018/08/31 12:00:00","2018/09/25 14:59:59"
61006002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61006002,6004,10006,"2018/08/31 12:00:00","2018/09/25 14:59:59"
61007001,101,601,"挑战1次布丁南瓜灯吧（全难度共通） ",9012,0,0,0,1,61007001,6008,10007,"2018/09/30 12:00:00","2018/10/22 14:59:59"
61007002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61007002,6004,10007,"2018/09/30 12:00:00","2018/10/22 14:59:59"
61008001,101,601,"挑战1次奥拉姆吧（全难度共通） ",9012,0,0,0,1,61008001,6008,10008,"2018/10/31 12:00:00","2018/11/18 14:59:59"
61008002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61008002,6004,10008,"2018/10/31 12:00:00","2018/11/18 14:59:59"
61009001,101,601,"挑战1次雾精吧（全难度共通） ",9012,0,0,0,1,61009001,6008,10009,"2018/11/30 12:00:00","2018/12/18 14:59:59"
61009002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61009002,6004,10009,"2018/11/30 12:00:00","2018/12/18 14:59:59"
61010001,101,601,"挑战1次邪糕神伽米吧（全难度共通） ",9012,0,0,0,1,61010001,6008,10010,"2018/12/31 12:00:00","2019/01/18 14:59:59"
61010002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61010002,6004,10010,"2018/12/31 12:00:00","2019/01/18 14:59:59"
61011001,101,601,"挑战1次丑萌巧克力兽吧（全难度共通） ",9012,0,0,0,1,61011001,6008,10011,"2019/01/31 12:00:00","2019/02/18 14:59:59"
61011002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61011002,6004,10011,"2019/01/31 12:00:00","2019/02/18 14:59:59"
61011003,103,601,"击破1次丑萌巧克力兽吧（全难度共通） ",9011,0,0,0,1,61011003,6008,10011,"2019/01/31 12:00:00","2019/02/18 14:59:59"
61012001,101,601,"挑战1次哀叹女神吧（全难度共通） ",9012,0,0,0,1,61012001,6008,10012,"2019/02/28 12:00:00","2019/03/18 14:59:59"
61012002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61012002,6004,10012,"2019/02/28 12:00:00","2019/03/18 14:59:59"
61013001,101,601,"挑战1次魔石巨人吧（全难度共通） ",9012,0,0,0,1,61013001,6008,10013,"2019/03/31 12:00:00","2019/04/14 14:59:59"
61013002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61013002,6004,10013,"2019/03/31 12:00:00","2019/04/14 14:59:59"
61014001,101,601,"挑战1次基兹吧（全难度共通） ",9012,0,0,0,1,61014001,6008,10014,"2019/04/15 12:00:00","2019/04/24 14:59:59"
61014002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61014002,6004,10014,"2019/04/15 12:00:00","2019/04/24 14:59:59"
61015001,101,601,"アクダイカンに1回挑戦しよう（全難易度共通） ",9012,0,0,0,1,61015001,6008,10015,"2019/04/30 12:00:00","2019/05/16 14:59:59"
61015002,102,601,"イベントクエストを10回クリアしよう",9004,0,0,0,10,61015002,6004,10015,"2019/04/30 12:00:00","2019/05/16 14:59:59"
