event_id,teaser_time,start_time,end_time,close_time,background,sheet_id,que_id,banner_unit_id,count_start_time,backgroud_size_x,backgroud_size_y,backgroud_pos_x,backgroud_pos_y,original_event_id,series_event_id
10001,"2018/03/26 15:00:00","2018/03/31 15:00:00","2018/04/19 15:00:00","2018/04/24 14:59:59",500213,"bgm_M32","bgm_M32",0,"2018/03/31 15:00:00",0,0,0,0,0,0
10002,"2018/04/26 15:00:00","2018/04/30 12:00:00","2018/05/21 14:59:59","2018/05/25 14:59:59",500193,"bgm_M98","bgm_M98",103601,"2018/03/31 15:00:00",0,0,0,0,0,0
10003,"2018/05/25 16:00:00","2018/05/31 12:00:00","2018/06/19 14:59:59","2018/06/25 14:59:59",500263,"bgm_M106","bgm_M106",104401,"2018/06/16 15:00:00",0,0,0,0,0,0
10004,"2018/06/26 15:00:00","2018/06/30 12:00:00","2018/07/19 14:59:59","2018/07/25 14:59:59",500164,"bgm_M112","bgm_M112",107601,"2018/07/16 15:00:00",1768,1060,60,50,0,0
10005,"2018/07/26 15:00:00","2018/07/31 12:00:00","2018/08/19 14:59:59","2018/08/24 14:59:59",500284,"bgm_M121","bgm_M121",907901,"2018/08/16 15:00:00",1768,1060,60,50,0,0
10006,"2018/08/27 15:00:00","2018/08/31 12:00:00","2018/09/18 14:59:59","2018/09/25 14:59:59",500096,"bgm_M128","bgm_M128",104701,"2018/09/15 15:00:00",1768,1060,60,50,0,0
10007,"2018/09/26 15:00:00","2018/09/30 12:00:00","2018/10/18 14:59:59","2018/10/22 14:59:59",500264,"bgm_M135","bgm_M135",108201,"2018/10/15 15:00:00",1768,1060,60,50,0,0
10008,"2018/10/26 15:00:00","2018/10/31 12:00:00","2018/11/14 14:59:59","2018/11/18 14:59:59",500143,"bgm_M162","bgm_M162",100901,"2018/11/11 15:00:00",1768,1060,60,50,0,0
10009,"2018/11/26 15:00:00","2018/11/30 12:00:00","2018/12/14 14:59:59","2018/12/18 14:59:59",500114,"bgm_M171","bgm_M171",108501,"2018/12/11 15:00:00",1768,1060,60,50,0,0
10010,"2018/12/26 15:00:00","2018/12/31 12:00:00","2019/01/14 14:59:59","2019/01/18 14:59:59",500553,"bgm_M182","bgm_M182",108901,"2019/01/11 15:00:00",1768,1060,60,50,0,0
10011,"2019/01/25 15:00:00","2019/01/31 12:00:00","2019/02/14 14:59:59","2019/02/18 14:59:59",500600,"bgm_M189","bgm_M189",109001,"2019/02/11 15:00:00",1768,1060,60,50,0,0
10012,"2019/02/22 15:00:00","2019/02/28 12:00:00","2019/03/14 14:59:59","2019/03/18 14:59:59",500013,"bgm_M206","bgm_M206",101401,"2019/03/11 15:00:00",1768,1060,60,50,0,0
10013,"2019/03/25 15:00:00","2019/03/31 12:00:00","2019/04/12 20:59:59","2019/04/14 14:59:59",500133,"bgm_M215","bgm_M215",109301,"2019/04/09 15:00:00",1768,1060,60,50,0,0
10014,"2019/04/11 15:00:00","2019/04/15 12:00:00","2019/04/22 20:59:59","2019/04/24 14:59:59",500213,"bgm_M32","bgm_M32",101201,"2019/04/19 15:00:00",1768,1060,60,50,10001,0
10015,"2019/04/24 15:00:00","2019/04/30 12:00:00","2019/05/12 20:59:59","2019/05/16 14:59:59",500650,"bgm_M223","bgm_M223",109501,"2019/05/09 15:00:00",1768,1060,60,50,0,0
10016,"2019/05/09 15:00:00","2019/05/15 12:00:00","2019/05/22 20:59:59","2019/05/24 14:59:59",500193,"bgm_M98","bgm_M98",103601,"2019/05/19 21:00:00",1768,1060,60,50,10002,0
10017,"2021/02/10 11:00:00","2021/02/11 11:00:00","2021/03/12 23:59:59","2021/03/18 14:59:59",500175,"bgm_M228","bgm_M228",109701,"2021/02/25 11:00:00",1768,1060,60,50,0,0
10018,"2019/06/10 15:00:00","2019/06/15 12:00:00","2019/06/22 20:59:59","2019/06/24 14:59:59",500263,"bgm_M106","bgm_M106",104401,"2019/06/19 21:00:00",1768,1060,60,50,10003,0
10019,"2019/06/24 15:00:00","2019/06/30 12:00:00","2019/07/14 20:59:59","2019/07/18 14:59:59",500683,"bgm_M237","bgm_M237",110101,"2019/7/10 21:00:00",1600,1060,12,50,0,0
10020,"2019/07/08 15:00:00","2019/07/15 12:00:00","2019/07/22 20:59:59","2019/07/24 14:59:59",500164,"bgm_M112","bgm_M112",107601,"2019/07/19  21:00:00",1768,1060,60,50,10004,0
10021,"2019/07/25 15:00:00","2019/07/31 12:00:00","2019/08/13 20:59:59","2019/08/17 14:59:59",500713,"bgm_M245","bgm_M245_02",110501,"2019/8/10  21:00:00",1768,1060,60,50,0,0
10022,"2019/08/08 15:00:00","2019/08/15 12:00:00","2019/08/22 20:59:59","2019/08/24 14:59:59",500284,"bgm_M121","bgm_M121",108001,"2019/08/19 21:00:00",1768,1060,60,50,10005,0
10023,"2019/08/26 15:00:00","2019/08/31 12:00:00","2019/09/14 20:59:59","2019/09/18 14:59:59",500731,"bgm_M254","bgm_M254",110701,"2019/9/10 21:00:00",1800,1060,34,50,0,0
