login_bonus_id,name,login_bonus_type,count_num,start_time,end_time,bg_id,stamp_id,odds_group_id,adv_play_type,count_type
20000,"新手冲刺登录庆典",2,10,"2016/09/01 15:00:00","2099/01/01 23:59:00",530100,0,0,0,0
30000,"登录奖励",3,15,"2016/04/01 15:00:00","2099/01/01 23:59:00",0,0,0,0,0
40000,"广告放送纪念登录奖励第1弹",4,1,"2016/09/01 15:00:00","2017/01/01 23:59:00",0,0,0,0,0
40001,"半周年庆登录活动",4,10,"2018/08/15 5:00:00","2018/09/01 4:59:59",500160,1,0,0,0
40003,"碧蓝幻想联动登录奖励",4,10,"2018/12/09 5:00:00","2018/12/22 4:59:59",40003,2,0,0,0
40004,"玛娜莉亚魔法学院放送应援登录活动",4,10,"2019/01/20 5:00:00","2019/01/31 4:59:59",40004,3,0,0,0
40005,"Shadowverse联动登录奖励",4,10,"2019/03/28 5:00:00","2019/04/25 4:59:59",40005,2,0,0,0
60000,"祝贺新年 新年登录奖励",6,7,"2019/01/01 5:00:00","2019/01/11 4:59:59",500553,0,1,0,0
60001,"謹賀新年 お正月ログインボーナス",6,7,"2020/01/01 5:00:00","2020/01/11 4:59:59",500553,0,1,0,0
70000,"圣诞节登录奖励",7,2,"2018/12/24 5:00:00","2018/12/26 4:59:59",500160,0,0,1,0
70001,"新年快乐登录奖励",7,3,"2019/01/01 5:00:00","2019/01/04 4:59:59",500160,0,0,2,0
70002,"クリスマスログインボーナス",7,2,"2019/12/24 5:00:00","2019/12/26 4:59:59",500160,0,0,1,0
70003,"三が日特別ログインボーナス",7,3,"2020/01/01 5:00:00","2020/01/04 4:59:59",500160,0,0,2,0
80001,"一周年庆倒计时登录奖励",8,15,"2019/01/31 5:00:00","2019/02/15 4:59:59",0,0,0,0,1
80002,"2nd Anniversary カウントダウンログインボーナス",4,15,"2020/01/31 5:00:00","2020/02/15 4:59:59",80002,4,0,0,0
