tbl,idx,stat
"trial_battle_data","trial_battle_data_0_category_id","25 5"
"event_gacha_data","event_gacha_data_0_event_id","65 1"
"hatsune_quiz","hatsune_quiz_0_event_id_1_release_quest_id","8 4 1"
"hatsune_quiz","hatsune_quiz_0_event_id","8 4"
"goldset_data_2",NULL,"70"
"clan_battle_training_schedule","clan_battle_training_schedule_0_clan_battle_id","1 1"
"taq_rewards",NULL,"13"
"cgg_completion_reward_data","cgg_completion_reward_data_0_completion_id","5 1"
"serial_group_data",NULL,"4"
"ttk_drama","ttk_drama_0_drama_id","62 11"
"hatsune_unlock_story_condition","hatsune_unlock_story_condition_0_event_id","439 9"
"clan_invite_level_group",NULL,"39"
"ssp_story_data","ssp_story_data_0_contents_type","22 6"
"ssp_story_data","ssp_story_data_0_original_event_id","22 22"
"hatsune_special_battle","hatsune_special_battle_0_wave_group_id","225 1"
"hatsune_special_battle","hatsune_special_battle_0_event_id","225 3"
"hatsune_special_battle","sqlite_autoindex_hatsune_special_battle_1","225 3 1"
"event_introduction","event_introduction_0_event_id","60 1"
"stamp",NULL,"32"
"dungeon_area_data",NULL,"7"
"hatsune_boss_enemy_setting","hatsune_boss_enemy_setting_0_boss_id_1_event_id","40 3 3"
"hatsune_boss_enemy_setting","sqlite_autoindex_hatsune_boss_enemy_setting_1","40 3 1"
"fix_lineup_group_set","fix_lineup_group_set_0_team_level_from_1_team_level_to","37 4 3"
"fix_lineup_group_set","sqlite_autoindex_fix_lineup_group_set_1","37 6 1 1"
"sekai_top_data","sekai_top_data_0_sekai_id","22 11"
"room_release_data",NULL,"3"
"cgg_game_settings",NULL,"1"
"fke_reward",NULL,"15"
"nyx_phase_data",NULL,"3"
"event_boss_treasure_box",NULL,"354"
"shiori_event_list","shiori_event_list_0_original_event_id","14 1"
"grand_arena_max_season_rank_reward",NULL,"118"
"birthday_login_bonus_data",NULL,"73"
"sp_lose_voice",NULL,"3"
"arcade_description","arcade_description_0_arcade_id_1_type","4 4 4"
"arcade_description","arcade_description_0_arcade_id","4 4"
"mhp_drama_script","mhp_drama_script_0_drama_id","2814 83"
"ske_story_script","ske_story_script_0_story_id","737 67"
"event_wave_group_data",NULL,"4518"
"hatsune_quest_area","hatsune_quest_area_0_event_id","150 3"
"goldset_data_teamlevel",NULL,"300"
"promotion_bonus","promotion_bonus_0_unit_id","384 2"
"promotion_bonus","sqlite_autoindex_promotion_bonus_1","384 2 1"
"nyx_story_script","nyx_story_script_0_story_id","785 72"
"dear_setting",NULL,"24"
