tower_schedule_id,max_tower_area_id,opening_story_id,count_start_time,recovery_disable_time,start_time,end_time
1001,1,7001000,"2018/09/17 14:59:59","2018/09/18 5:00:00","2018/09/13 12:00:00","2018/09/18 14:59:59"
1002,2,7002000,"2018/10/17 14:59:59","2018/10/18 5:00:00","2018/10/13 12:00:00","2018/10/18 14:59:59"
1003,3,7003000,"2018/11/18 14:59:59","2018/11/19 5:00:00","2018/11/14 12:00:00","2018/11/19 14:59:59"
1004,4,7003003,"2018/12/18 14:59:59","2018/12/19 5:00:00","2018/12/14 12:00:00","2018/12/19 14:59:59"
1005,5,7004000,"2019/01/18 14:59:59","2019/01/19 5:00:00","2019/01/14 12:00:00","2019/01/19 14:59:59"
1006,6,7004003,"2019/02/18 11:59:59","2019/02/19 5:00:00","2019/02/14 15:00:00","2019/02/19 11:59:59"
1007,7,7005000,"2019/03/18 14:59:59","2019/03/19 5:00:00","2019/03/14 12:00:00","2019/03/19 14:59:59"
1008,8,7005003,"2019/04/17 20:59:59","2019/04/18 5:00:00","2019/04/13 12:00:00","2019/04/18 20:59:59"
1009,9,7006000,"2019/05/17 20:59:59","2019/05/18 5:00:00","2019/05/13 12:00:00","2019/05/18 20:59:59"
1010,10,7006003,"2019/06/18 20:59:59","2019/06/19 5:00:00","2019/06/14 12:00:00","2019/06/19 20:59:59"
1011,11,7007000,"2019/07/21 20:59:59","2019/07/22 5:00:00","2019/07/15 12:00:00","2019/07/22 20:59:59"
1012,12,7007003,"2019/08/18 20:59:59","2019/08/19 5:00:00","2019/08/14 10:00:00","2019/08/19 20:59:59"
1013,13,7008000,"2019/09/18 20:59:59","2019/09/19 5:00:00","2019/09/14 12:00:00","2019/09/19 20:59:59"
1014,14,7008003,"2019/10/18 20:59:59","2019/10/19 5:00:00","2019/10/14 12:00:00","2019/10/19 20:59:59"
1015,15,7009000,"2019/11/18 20:59:59","2019/11/19 5:00:00","2019/11/14 12:00:00","2019/11/19 20:59:59"
1016,16,7009003,"2019/12/18 20:59:59","2019/12/19 5:00:00","2019/12/14 12:00:00","2019/12/19 20:59:59"
1017,17,7010000,"2020/01/20 20:59:59","2020/01/21 5:00:00","2020/01/14 12:00:00","2020/01/21 20:59:59"
1018,18,7010003,"2022/02/20 20:59:59","2022/02/21 5:00:00","2020/02/14 12:00:00","2022/02/21 20:59:59"
