story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time
7001,7,1,"寻求失去的记忆",0,1,"2018/09/13 12:00:00","2030/04/24 14:59:59"
7002,7,2,"姐妹的羁绊与愿望之塔",0,1,"2018/10/13 12:00:00","2030/04/24 14:59:59"
7003,7,3,"星星们的二重奏",0,1,"2018/11/14 12:00:00","2030/04/24 14:59:59"
7004,7,4,"姐妹·契约",0,1,"2019/01/14 12:00:00","2030/04/24 14:59:59"
7005,7,5,"傲娇鬼屋",0,1,"2019/03/14 12:00:00","2030/04/24 14:59:59"
7006,7,6,"二つの誇りは絆と共に",0,1,"2019/05/13 12:00:00","2030/04/24 14:59:59"
7007,7,7,"冥風戦記外伝・吸血鬼伝承",0,1,"2019/07/15 12:00:00","2030/04/24 14:59:59"
7008,7,8,"あまあま妹シューターズ！",0,1,"2019/09/14 12:00:00","2030/04/24 14:59:59"
7009,7,9,"もふもふメルヘン珍道中",0,1,"2019/11/14 12:00:00","2030/04/24 14:59:59"
7010,7,10,"ティーチャーズガイダンス",0,1,"2020/01/14 12:00:00","2030/04/24 14:59:59"
