unit_id,unit_name,prefab_id,motion_type,se_type,move_speed,search_area_width,atk_type,normal_atk_cast_time,cutin,cutin_star6,visual_change_flag,comment
200100,"长耳猴",200100,0,0,270,800,1,3.5,0,0,0,"【物理】遠距離攻撃\n大きな岩を投げて、遠くから\n攻撃してくるサルの魔物。"
200200,"气球鸟",200200,0,0,270,800,1,3.0,0,0,0,"【回复】范围回复\n将腹部积攒的满满魔力\n变为治愈波动的鸟类魔物。"
200300,"魔界守门人",200300,0,0,270,200,2,3.5,0,0,0,"【魔法】范围攻击\n打开地狱之门，吐出\n伴随灼伤的火焰的魔界守门人。"
200400,"狼人",200400,0,0,270,350,1,2.5,0,0,0,"【物理】近身攻击\n用尖锐的利爪撕碎敌人，\n狼之魔物。"
200500,"野性角鹿",200500,0,16,270,200,1,3.0,0,0,0,"【物理】近身攻击\n用大犄角进行攻击和\n防御，鹿之魔物。"
200501,"雪原山羊",200501,0,16,270,200,1,3.0,0,0,0,"【物理】近身攻击\n住在高山上，厚实的毛皮之下\n拥有强韧的身体，驯鹿魔物。"
200600,"敏捷鼠妖",200600,0,11,270,250,1,1.5,0,0,0,"【物理】近身攻击\n虽然威力很小，但会灵活地\n反复进行攻击，老鼠魔物。"
200700,"木魂",200700,0,17,270,400,2,3.0,0,0,0,"【魔法】中距离攻击\n投掷魔力弹，\n攻击偏后方的朽木魔物。"
200701,"岩魂",200701,0,17,270,400,2,3.0,0,0,0,"【魔法】中距离攻击\n投掷燃烧的火焰，\n施加附加灼烧伤害的诅咒石像。"
200800,"食岩精灵",200800,0,15,270,1080,1,3.5,0,0,0,"【物理】远距离攻击\n拥有能够咀嚼岩石的\n坚硬牙齿的山之精灵。"
200801,"食冰精灵",200801,0,15,270,1080,1,3.5,0,0,0,"【物理】远距离攻击\n将冰块作为武器和\n食物的雪山精灵。"
200900,"树妖",200900,0,15,270,200,1,2.5,0,0,0,"【物理】前卫·近身攻击\n将柔软的枝条作为\n鞭子来进行攻击的树之魔物。"
200901,"蜷旋金合欢",200901,0,15,270,200,1,2.5,0,0,0,"【物理】近身攻击\n用弯曲盘错的枝条将冒险者\n引入森林深处的\n豆科植物的树妖。"
200902,"树精",200902,0,15,270,200,1,0.5,0,0,0,"【物理】中距离攻击\n自由自在地伸展枝杈，用熟练的技巧\n攻击弱点的朽木魔物。"
200903,"トレント",200902,0,15,270,3000,1,0.5,0,0,0,"【物理】中距離攻撃\n枝を自在に伸ばし、老練な技で\n痛いところに手が届く朽木の魔物。"
201000,"狱火骷髅",201000,0,17,270,1080,2,3.0,0,0,0,"【魔法】中距离攻击\n地狱之火缠身，\n袭击生者的怨念集合体。"
201100,"狗头人",201100,0,15,270,650,1,3.5,0,0,0,"【物理】中距离攻击\n投掷回旋镖似的骨头\n进行攻击的山犬魔物。"
201101,"狗头人暗杀者",201101,0,15,270,650,1,0.5,0,0,0,"【物理】中距离攻击\n用迅捷的移动玩弄敌人，\n瞅准转瞬之机射出飞刀的山犬魔物。"
201200,"魔像",201200,0,16,270,150,1,5.0,0,0,0,"【物理】近身攻击\n用结实的身体\n进行攻守的岩石魔物。"
201201,"蓝色魔像",201201,0,16,270,150,1,5.0,0,0,0,"【物理】【魔法防御】近身攻击\n从蕴藏魔力的岩石中诞生的，\n具有魔法耐性的石头人。"
201300,"岩之花",201300,0,15,270,800,1,3.5,0,0,0,"【物理】中距离攻击\n将小石子当做子弹扔出\n进行攻击，用岩石做成的会动的花。"
201301,"狂乱花",201301,0,15,270,800,1,3.5,0,0,0,"【物理】中距离攻击\n尾部的花释放恶臭，\n但闻惯了似乎会上瘾。"
201302,"仙人掌花",201302,0,15,270,800,1,3.5,0,0,0,"【物理】中距离攻击\n触碰后，可以无限释放\n会让人麻痹的针的行走的仙人掌。"
201400,"雷云长老",201400,0,0,270,1080,2,3.0,0,0,0,"【魔法】【辅助】范围攻击\n自由操纵天气，\n降下落雷的云之魔物。"
201500,"潜水水母",201500,0,0,270,780,2,3.0,0,0,0,"【回复】范围回复\n将捡到的潜水服里装满水，\n即使在陆地也能战斗的水母魔物。"
201600,"森林妖精",201600,0,15,270,800,2,2.5,0,0,0,"【魔法】【召唤】近身攻击\n利用大地的魔力自由蕴生\n蘑菇魔物的森之精灵。"
201602,"ニンフ",201602,0,15,270,800,2,2.5,0,0,0,"【魔法】中距離攻撃\n遊び相手を見つけては、見境なしに\nイタズラをする、森の精霊。"
201700,"会动的战士雕像",201700,0,16,270,150,1,4.0,0,0,0,"【物理】【魔法防御】近身攻击\n拥有防御所有魔法攻击的\n盾牌，有生命的石像。"
201800,"会动的剑士雕像",201800,0,5,270,150,1,4.0,0,0,0,"【物理】【物理防御】近身攻击\n用剑将所有物理攻击\n反弹回去，有生命的石像。"
201900,"毒蝾螈",201900,0,0,270,1080,1,3.0,0,0,0,"【物理】远距离攻击\n栖息在泥沼里，\n口中吐出剧毒的山椒鱼魔物。"
201901,"熔岩蝾螈",201901,0,0,270,1080,1,3.0,0,0,0,"【物理】远距离攻击\n潜居于熔岩之海，对靠近自己的一切\n吐出灼热的体液的蝾螈魔物。"
202000,"暴君巨龟",202000,0,16,270,150,1,5.5,0,0,0,"【物理】【物理防御】近身攻击\n用甲壳将所有物理攻击\n弹开的巨龟魔物。"
202100,"发光蘑菇",202100,0,14,270,200,1,2.0,0,0,0,"【物理】近身攻击\n响应树妖的召唤，\n无限生长的蘑菇精灵。"
202101,"红菇",202101,0,14,270,200,1,2.0,0,0,0,"【物理】近身攻击\n炖煮后意外美味\n传说中的行走的蘑菇。"
202200,"垂耳翼兔",202200,0,15,270,650,2,3.5,0,0,0,"【魔法】近身攻击\n扇动巨大的耳朵\n猛地腾空而起的兔子魔物。"
202300,"火焰法师",202300,0,17,270,1080,2,3.5,0,0,0,"【魔法】远距离攻击\n用从地狱召唤来的火焰\n释放魔法的上级恶魔。"
202400,"洞穴猿人",202400,0,12,270,750,1,3.0,0,0,0,"【物理】近身攻击\n用强韧的手臂和肌肉抓住\n钟乳石并扔出的大型猿类魔物。"
202500,"洞穴蝙蝠",202500,0,15,270,550,2,3.5,0,0,0,"【魔法】近身攻击\n栖息在洞窟中，听到猎物的脚步声便\n发动攻击的蝙蝠魔物。"
